date,brand,model,quantity_sold,current_stock,reorder_threshold,lead_time
2023-06-24,Dell,XPS 13,26,341,13,13
2023-01-21,Oppo,Oppo A74,31,380,15,6
2024-04-19,Oppo,Oppo Reno 5,37,496,41,4
2024-04-22,Samsung,Galaxy S21,23,300,50,13
2024-12-18,Apple,iPhone 11,45,482,25,3
2021-07-18,Realme,Realme X7,46,116,19,4
2022-11-11,Realme,Realme X7,44,306,23,12
2022-06-19,Acer,Predator Helios,37,363,41,12
2021-08-15,HP,Spectre x360,20,202,34,9
2023-07-01,MSI,GE76 Raider,35,471,22,13
2021-02-04,Lenovo,ThinkPad X1,13,173,15,11
2024-01-01,Xiaomi,Redmi Note 9,27,168,49,3
2021-12-29,Apple,iPhone 13,25,307,12,6
2022-05-23,Dell,XPS 13,8,170,49,10
2024-12-05,Apple,MacBook Air,30,139,13,3
2022-04-09,Realme,Realme 8,27,187,45,14
2022-02-02,Samsung,Galaxy S20,23,72,40,6
2021-09-24,Realme,Realme 8,32,410,23,4
2021-03-03,Apple,MacBook Air,45,169,23,13
2024-05-03,HP,Spectre x360,45,274,48,11
2022-12-05,HP,Spectre x360,28,488,26,4
2023-08-30,Dell,XPS 13,47,368,20,11
2022-04-07,HP,Spectre x360,7,83,45,14
2022-04-22,OnePlus,OnePlus 8,37,101,25,5
2023-04-30,Google,Pixel 5,28,423,46,12
2024-12-18,Xiaomi,Mi 10,20,114,36,9
2023-03-22,Xiaomi,Mi 10,42,339,38,7
2024-04-24,Vivo,Vivo V20,21,465,38,11
2022-03-16,Xiaomi,Redmi Note 9,21,202,39,3
2023-03-09,Asus,VivoBook 15,23,352,45,3
2024-02-13,Oppo,Oppo F19,6,314,10,8
2023-03-17,Acer,Swift 3,23,308,15,5
2024-10-05,Lenovo,IdeaPad 3,19,28,46,11
2022-03-26,Samsung,Galaxy S21,48,167,42,3
2024-07-15,Vivo,Vivo Y51,7,33,19,6
2023-04-16,OnePlus,OnePlus 9,6,170,19,13
2023-11-12,Asus,ZenBook 14,37,333,22,10
2024-12-30,HP,EliteBook 840,8,441,39,5
2021-10-17,MSI,GF65 Thin,40,157,37,13
2023-08-06,Xiaomi,Mi 10,34,369,27,11
2023-05-16,HP,Pavilion 15,23,92,14,7
2021-06-05,Realme,Realme 8,16,271,45,11
2024-06-29,OnePlus,OnePlus 8,29,222,46,8
2022-10-29,Xiaomi,Mi 10,19,194,38,7
2024-08-15,MSI,Stealth 15M,21,427,50,7
2023-02-15,Oppo,Oppo A74,7,404,33,9
2023-01-30,OnePlus,OnePlus Nord,36,221,19,13
2021-08-25,Apple,iPhone 11,27,28,32,11
2021-03-30,Apple,iPhone 12,41,298,36,6
2021-12-29,Acer,Predator Helios,8,44,15,12
2022-07-18,Google,Pixel 4a,2,102,44,4
2022-04-10,Xiaomi,Mi 11,31,189,38,8
2021-06-03,OnePlus,OnePlus Nord,3,250,20,11
2023-11-19,Acer,Swift 3,44,68,27,7
2023-04-14,Xiaomi,Mi 11,37,217,46,13
2023-11-18,Apple,iPhone 11,4,251,20,6
2021-02-07,Lenovo,Legion 5,45,181,27,6
2021-07-21,Samsung,Galaxy Note 10,24,479,38,13
2024-03-25,Apple,iPhone 12,3,314,12,7
2024-09-16,Xiaomi,Mi 11,40,79,25,10
2023-12-04,Acer,Aspire 5,15,438,34,11
2021-10-23,HP,EliteBook 840,18,292,36,6
2022-09-22,Samsung,Galaxy S21,44,49,41,12
2023-04-13,Apple,iPhone 12,4,111,40,12
2024-02-06,Google,Pixel 5,30,421,49,14
2022-05-07,Oppo,Oppo A74,47,323,25,9
2021-09-22,Lenovo,ThinkPad X1,27,61,49,13
2021-12-08,Google,Pixel 6,4,452,23,5
2022-09-21,Apple,iPhone 11,28,176,48,5
2023-12-09,OnePlus,OnePlus Nord,21,315,19,3
2024-05-04,Apple,MacBook Pro 16,46,459,37,4
2024-10-28,Asus,ROG Zephyrus,18,26,32,9
2023-03-29,Vivo,Vivo X50,1,435,19,4
2023-03-26,Asus,VivoBook 15,10,408,32,14
2024-02-23,Xiaomi,Mi 10,49,305,25,4
2024-07-24,HP,Pavilion 15,19,144,17,11
2024-09-07,Dell,Inspiron 15,16,221,21,5
2023-04-07,Oppo,Oppo Reno 5,46,157,42,11
2024-04-29,MSI,Stealth 15M,48,330,40,6
2024-05-27,Samsung,Galaxy S20,12,358,19,4
2023-08-29,Realme,Realme X7,38,411,35,14
2023-05-12,HP,Pavilion 15,45,131,20,6
2022-08-04,Apple,MacBook Pro 13,2,102,22,7
2021-03-20,Apple,MacBook Pro 16,39,405,15,3
2023-01-01,Oppo,Oppo Reno 5,17,117,50,9
2023-10-29,Acer,Aspire 5,39,471,50,9
2021-05-11,Realme,Realme 7,15,60,26,12
2021-04-03,Google,Pixel 6,25,406,27,14
2021-02-05,Oppo,Oppo A74,49,262,41,8
2024-10-29,Vivo,Vivo V20,33,219,38,5
2022-01-10,Acer,Predator Helios,6,138,19,6
2024-09-02,MSI,GF65 Thin,30,296,43,14
2023-01-20,Xiaomi,Mi 11,37,156,43,14
2023-02-09,Xiaomi,Redmi Note 9,5,70,27,14
2024-04-05,Acer,Aspire 5,30,374,30,3
2021-09-19,Dell,XPS 13,46,471,38,8
2022-08-01,OnePlus,OnePlus 8,17,351,18,10
2022-04-10,Apple,iPhone 11,49,151,32,11
2022-02-03,Acer,Predator Helios,26,386,31,8
2022-10-20,Asus,ZenBook 14,10,383,40,13
2021-06-02,Dell,Inspiron 15,29,379,20,8
2021-01-01,Realme,Realme 8,4,480,49,3
2024-01-01,Samsung,Galaxy S20,44,318,47,13
2022-09-02,HP,EliteBook 840,7,381,31,4
2022-11-13,Samsung,Galaxy Note 10,12,140,43,3
2023-04-15,Lenovo,ThinkPad X1,33,219,31,10
2023-05-26,Dell,XPS 13,20,50,36,7
2021-03-21,Dell,Latitude 7420,23,153,12,10
2021-12-02,MSI,GF65 Thin,9,464,26,5
2022-10-06,Apple,iPhone 12,20,428,39,6
2021-09-15,MSI,GF65 Thin,48,450,31,6
2024-10-20,Samsung,Galaxy Note 10,28,482,23,4
2024-01-31,HP,EliteBook 840,3,129,25,13
2022-06-27,HP,Spectre x360,22,315,48,5
2022-05-28,Samsung,Galaxy S21,46,141,46,4
2024-05-07,Realme,Realme 8,9,167,12,5
2024-04-18,Realme,Realme 7,27,413,50,3
2023-12-11,OnePlus,OnePlus 9,45,425,29,3
2024-09-20,Acer,Aspire 5,41,476,30,3
2023-03-18,Apple,iPhone 13,11,256,47,14
2021-01-12,Samsung,Galaxy S21,12,134,15,5
2021-10-12,Apple,iPhone 13,14,400,28,7
2022-08-10,Apple,MacBook Pro 16,29,388,25,3
2022-05-01,Xiaomi,Mi 10,4,224,29,7
2023-02-28,Acer,Predator Helios,28,132,41,13
2021-11-03,HP,EliteBook 840,50,389,22,3
2021-06-27,Lenovo,IdeaPad 3,10,68,44,12
2022-04-24,Apple,MacBook Pro 16,46,457,13,5
2021-03-14,Xiaomi,Mi 10,10,366,35,14
2024-12-31,Dell,Inspiron 15,25,238,33,4
2023-01-05,Oppo,Oppo A74,1,224,17,7
2022-11-26,Xiaomi,Mi 10,7,88,27,3
2023-09-20,Lenovo,IdeaPad 3,8,202,46,13
2023-05-24,Apple,MacBook Pro 13,22,130,19,5
2023-02-25,Samsung,Galaxy S20,12,281,37,5
2023-10-05,HP,EliteBook 840,37,402,49,12
2024-09-17,Apple,MacBook Pro 13,5,378,48,12
2022-01-02,Google,Pixel 6,41,476,33,6
2023-11-17,Xiaomi,Mi 10,10,44,36,10
2021-12-20,Realme,Realme 7,49,122,49,11
2023-12-18,Google,Pixel 4a,22,59,25,3
2022-03-05,Dell,Inspiron 15,46,383,11,10
2024-11-21,Xiaomi,Mi 10,41,376,15,3
2023-02-05,OnePlus,OnePlus 8,8,35,27,11
2022-10-23,Vivo,Vivo V20,16,286,11,4
2022-10-07,Dell,Latitude 7420,37,434,35,11
2024-12-03,MSI,Stealth 15M,22,189,18,8
2024-12-12,Realme,Realme 8,21,60,31,13
2022-07-02,MSI,GE76 Raider,22,469,11,10
2022-09-23,Samsung,Galaxy Note 10,47,405,15,8
2022-09-04,Lenovo,IdeaPad 3,1,248,47,12
2021-10-15,Apple,iPhone 12,44,326,30,14
2024-06-20,Oppo,Oppo F19,9,304,30,10
2021-08-29,OnePlus,OnePlus 9,1,289,13,6
2021-02-02,Samsung,Galaxy S20,4,252,46,11
2022-08-24,Apple,MacBook Pro 13,38,431,44,5
2022-06-26,HP,EliteBook 840,7,263,32,5
2021-04-18,Lenovo,Legion 5,21,473,18,11
2021-11-12,Dell,XPS 13,31,158,18,8
2021-04-13,Apple,iPhone 11,31,45,16,3
2023-04-13,Dell,Inspiron 15,27,72,18,3
2024-08-30,Apple,MacBook Pro 13,7,360,49,11
2024-07-04,Lenovo,ThinkPad X1,35,147,50,8
2022-12-21,HP,Spectre x360,49,478,21,4
2021-04-07,Lenovo,IdeaPad 3,2,251,37,11
2021-01-26,OnePlus,OnePlus Nord,8,27,43,4
2024-01-10,Samsung,Galaxy S20,34,442,44,9
2021-11-13,HP,Spectre x360,46,80,30,9
2024-07-29,Samsung,Galaxy Note 10,25,199,12,10
2022-05-31,Acer,Swift 3,2,288,21,12
2023-08-10,Acer,Predator Helios,38,153,20,4
2022-03-10,Realme,Realme 7,49,324,20,8
2022-05-04,Lenovo,IdeaPad 3,47,300,13,10
2024-09-26,Acer,Predator Helios,11,137,34,4
2024-09-17,Samsung,Galaxy S20,28,78,10,9
2022-01-06,Acer,Aspire 5,17,316,21,8
2024-05-22,Acer,Predator Helios,39,388,33,12
2024-12-16,Asus,ZenBook 14,8,341,32,6
2021-05-10,Google,Pixel 5,40,465,20,8
2022-03-04,HP,EliteBook 840,48,257,20,8
2021-05-19,Apple,MacBook Pro 13,27,334,14,9
2022-04-04,Google,Pixel 4a,15,125,20,13
2021-06-03,Asus,ZenBook 14,26,45,37,7
2021-07-25,Apple,iPhone 11,40,437,20,13
2022-11-11,Vivo,Vivo X50,35,276,11,4
2022-12-21,Acer,Predator Helios,24,468,18,11
2023-02-20,Lenovo,ThinkPad X1,42,129,49,9
2021-07-08,Oppo,Oppo Reno 5,46,265,20,6
2021-09-07,MSI,GF65 Thin,31,465,43,9
2024-01-29,Oppo,Oppo F19,1,101,28,11
2023-05-13,Xiaomi,Redmi Note 9,8,143,48,7
2021-08-18,Vivo,Vivo Y51,23,477,27,9
2021-08-25,Acer,Predator Helios,22,89,17,6
2023-01-03,Xiaomi,Mi 11,26,230,22,13
2024-06-15,Lenovo,ThinkPad X1,12,311,32,14
2023-10-09,Realme,Realme 8,29,110,18,10
2024-12-24,Apple,MacBook Pro 16,6,289,12,8
2024-11-08,Oppo,Oppo F19,49,414,42,6
2021-08-28,Vivo,Vivo V20,16,422,45,10
2024-01-12,Lenovo,ThinkPad X1,6,189,22,13
2024-08-18,Acer,Aspire 5,1,159,18,13
2024-12-09,Vivo,Vivo X50,32,88,15,14
2022-01-21,Oppo,Oppo F19,38,350,30,5
2023-09-06,Oppo,Oppo F19,32,374,19,5
2021-07-04,Lenovo,Legion 5,13,232,29,5
2022-05-13,Apple,iPhone 11,23,199,12,10
2023-05-23,Xiaomi,Redmi Note 9,42,208,34,3
2021-07-20,Asus,VivoBook 15,14,162,35,4
2023-01-20,Vivo,Vivo X50,46,472,12,6
2024-09-15,Realme,Realme X7,18,175,47,8
2024-09-19,Vivo,Vivo Y51,35,493,22,6
2023-07-06,Asus,ROG Zephyrus,34,466,27,11
2022-12-11,Xiaomi,Redmi Note 9,23,467,41,7
2022-11-11,Asus,ZenBook 14,2,214,39,9
2022-02-23,Dell,Inspiron 15,12,159,44,7
2021-07-11,Oppo,Oppo A74,19,38,48,6
2021-08-21,Xiaomi,Mi 10,9,273,35,14
2024-12-12,HP,EliteBook 840,31,156,33,12
2023-01-26,Lenovo,Legion 5,21,53,31,14
2022-08-07,Asus,ZenBook 14,38,236,18,10
2024-04-20,OnePlus,OnePlus Nord,21,198,22,14
2024-05-21,Vivo,Vivo X50,44,478,11,13
2022-06-26,MSI,Stealth 15M,16,325,23,10
2021-06-26,Google,Pixel 4a,50,108,30,5
2022-06-28,Asus,ZenBook 14,32,184,20,8
2024-09-11,Lenovo,ThinkPad X1,15,433,17,10
2023-10-25,Lenovo,Legion 5,43,123,50,12
2024-04-08,Google,Pixel 4a,43,221,31,6
2023-03-01,MSI,GE76 Raider,37,459,41,12
2023-04-17,Asus,ZenBook 14,4,367,21,11
2021-02-01,Apple,iPhone 12,25,40,42,11
2024-04-10,Xiaomi,Redmi Note 9,33,360,14,7
2023-09-14,HP,EliteBook 840,47,65,10,12
2022-07-20,Google,Pixel 4a,28,42,25,8
2022-04-14,Lenovo,Legion 5,23,491,27,11
2024-04-03,Oppo,Oppo Reno 5,34,206,49,11
2022-09-18,Google,Pixel 5,8,303,43,8
2021-06-21,Apple,MacBook Pro 13,9,123,22,4
2021-03-31,MSI,GF65 Thin,38,354,12,9
2024-12-25,OnePlus,OnePlus Nord,21,155,39,13
2021-11-25,Realme,Realme 7,48,143,20,3
2021-04-18,HP,Pavilion 15,4,255,40,7
2022-08-03,OnePlus,OnePlus 8,34,291,24,13
2023-04-08,Google,Pixel 5,46,436,45,13
2023-07-22,OnePlus,OnePlus 9,46,344,22,14
2022-12-01,OnePlus,OnePlus Nord,35,33,24,13
2024-03-28,Google,Pixel 6,5,49,20,11
2023-05-20,OnePlus,OnePlus 8,38,234,12,5
2021-07-31,Oppo,Oppo A74,26,163,50,3
2021-11-01,Google,Pixel 4a,9,411,23,5
2023-08-02,Google,Pixel 4a,37,472,19,4
2022-10-18,HP,EliteBook 840,34,386,10,6
2023-08-24,MSI,GF65 Thin,39,471,13,8
2021-02-27,Acer,Predator Helios,16,325,18,8
2021-07-23,Samsung,Galaxy S21,22,92,44,8
2024-02-06,Dell,XPS 13,17,107,26,6
2021-09-16,Dell,Latitude 7420,23,401,28,13
2021-09-19,Vivo,Vivo Y51,38,162,45,12
2023-07-06,Asus,ZenBook 14,17,23,46,11
2021-03-16,Asus,VivoBook 15,6,285,39,10
2023-03-22,Apple,iPhone 12,7,25,18,3
2024-11-25,Apple,iPhone 13,26,272,20,8
2023-03-10,Realme,Realme 7,21,161,11,11
2021-11-27,Xiaomi,Mi 10,14,67,31,11
2021-12-12,Samsung,Galaxy S20,22,431,42,12
2023-10-04,Asus,VivoBook 15,31,310,15,6
2022-07-14,Samsung,Galaxy S21,30,333,37,10
2022-08-29,Dell,Latitude 7420,9,276,43,11
2021-10-24,HP,Pavilion 15,18,224,33,12
2023-09-18,Google,Pixel 4a,45,152,17,9
2024-11-22,Apple,MacBook Air,10,91,45,13
2021-03-31,Oppo,Oppo A74,24,374,26,8
2024-04-09,Google,Pixel 6,8,271,45,13
2024-09-25,Apple,MacBook Pro 16,27,173,23,7
2022-07-29,Acer,Swift 3,31,117,13,10
2024-11-01,Apple,MacBook Pro 16,48,21,19,13
2021-02-13,MSI,Stealth 15M,40,20,16,14
2023-07-08,Dell,Latitude 7420,7,249,13,8
2022-01-03,Google,Pixel 4a,34,147,25,14
2021-12-10,Asus,VivoBook 15,43,449,28,5
2024-08-11,HP,Spectre x360,19,157,36,11
2023-09-29,HP,Spectre x360,27,86,41,5
2024-10-22,Apple,MacBook Air,27,486,21,4
2022-03-05,Acer,Aspire 5,1,82,40,13
2021-08-18,Acer,Swift 3,21,276,25,6
2021-05-31,MSI,GF65 Thin,44,63,40,9
2022-12-28,Vivo,Vivo V20,8,22,11,12
2021-08-30,Apple,iPhone 12,10,397,40,9
2023-04-24,Samsung,Galaxy S21,22,274,41,14
2023-01-17,HP,EliteBook 840,22,238,28,6
2024-11-08,Asus,ZenBook 14,50,231,11,14
2021-12-19,Dell,XPS 13,40,29,35,11
2022-12-23,Acer,Swift 3,14,354,14,3
2023-07-10,Google,Pixel 6,33,434,36,11
2024-07-11,HP,EliteBook 840,23,485,42,13
2021-06-27,Lenovo,Legion 5,40,205,11,8
2023-08-14,Oppo,Oppo F19,32,184,38,4
2024-12-12,Oppo,Oppo F19,39,435,31,13
2022-03-10,Oppo,Oppo Reno 5,14,131,10,10
2024-03-30,Samsung,Galaxy S21,20,63,38,5
2021-03-30,Apple,iPhone 11,34,120,32,8
2022-05-11,Samsung,Galaxy S21,26,444,46,11
2022-08-17,Acer,Predator Helios,35,365,43,14
2024-12-13,Apple,iPhone 12,46,382,18,13
2022-11-28,Apple,MacBook Air,9,190,37,4
2024-04-15,Dell,Latitude 7420,40,88,14,3
2022-08-11,Asus,ROG Zephyrus,32,449,17,14
2023-12-18,Vivo,Vivo V20,2,152,48,9
2022-05-17,Acer,Swift 3,16,51,47,7
2021-11-29,Xiaomi,Mi 11,12,482,40,14
2024-09-25,Asus,VivoBook 15,15,145,10,11
2024-06-03,Google,Pixel 5,10,324,19,14
2023-02-05,HP,Pavilion 15,6,416,44,7
2022-05-16,OnePlus,OnePlus Nord,49,355,36,12
2023-03-09,Xiaomi,Redmi Note 9,6,172,37,13
2021-07-28,Apple,iPhone 13,40,229,47,4
2022-10-11,Apple,iPhone 13,13,80,46,7
2023-03-10,Oppo,Oppo A74,16,336,10,5
2023-04-10,Asus,ZenBook 14,16,430,13,3
2022-10-20,Lenovo,ThinkPad X1,41,32,17,7
2024-07-18,MSI,GE76 Raider,39,272,34,13
2022-06-24,Acer,Predator Helios,23,220,43,6
2023-08-26,Dell,XPS 13,17,53,32,6
2024-05-29,Asus,ZenBook 14,36,161,29,6
2022-06-01,Lenovo,Legion 5,28,147,27,12
2021-02-23,Apple,iPhone 13,1,241,10,6
2024-05-17,Vivo,Vivo V20,14,309,31,5
2023-07-23,MSI,GF65 Thin,22,305,35,3
2021-03-17,Asus,ZenBook 14,34,472,27,14
2023-01-03,Realme,Realme 8,8,405,41,10
2021-10-03,Apple,MacBook Pro 13,2,265,45,3
2024-12-31,Asus,ROG Zephyrus,20,336,47,4
2022-02-26,Apple,iPhone 11,4,71,22,7
2024-08-30,Oppo,Oppo Reno 5,35,298,11,12
2023-01-04,Acer,Aspire 5,14,112,17,10
2024-05-30,Dell,Inspiron 15,4,159,49,14
2022-01-16,Dell,Latitude 7420,9,326,17,7
2022-10-15,Apple,MacBook Air,45,454,23,13
2021-10-28,HP,EliteBook 840,40,482,30,12
2021-04-21,Google,Pixel 5,39,418,20,10
2021-05-19,Apple,MacBook Air,31,22,46,3
2021-10-26,OnePlus,OnePlus Nord,11,81,39,6
2023-09-05,Apple,MacBook Pro 13,19,231,17,3
2022-06-11,Google,Pixel 5,30,237,18,14
2024-02-07,Samsung,Galaxy Note 10,35,145,22,8
2024-04-01,Google,Pixel 5,42,487,22,6
2021-07-17,Oppo,Oppo F19,24,276,15,13
2024-12-17,Vivo,Vivo V20,6,471,26,6
2022-04-12,Apple,MacBook Pro 16,10,298,34,3
2023-07-22,Oppo,Oppo Reno 5,50,325,37,8
2022-06-06,Realme,Realme X7,49,239,44,5
2022-12-04,Acer,Predator Helios,26,398,50,6
2024-10-10,Google,Pixel 4a,27,309,34,7
2022-04-03,Realme,Realme 8,21,94,29,12
2023-06-12,Acer,Predator Helios,36,180,15,8
2022-04-24,Dell,Inspiron 15,19,264,43,8
2023-05-30,OnePlus,OnePlus Nord,42,228,49,13
2022-02-01,Realme,Realme 7,29,212,44,14
2024-12-20,OnePlus,OnePlus 9,22,459,44,8
2022-07-24,MSI,GF65 Thin,22,328,25,10
2023-03-27,Xiaomi,Mi 10,44,261,29,9
2021-03-24,MSI,GE76 Raider,18,208,46,7
2021-04-09,Google,Pixel 6,39,303,17,14
2024-10-21,HP,Pavilion 15,19,372,40,8
2023-01-30,MSI,GE76 Raider,4,67,44,12
2024-04-27,OnePlus,OnePlus 8,21,183,48,13
2023-10-02,Acer,Aspire 5,37,83,17,8
2021-05-09,Apple,MacBook Pro 16,4,444,10,10
2023-11-19,Oppo,Oppo A74,27,330,38,10
2022-09-28,Realme,Realme X7,42,62,38,14
2022-11-26,Apple,iPhone 13,30,470,14,3
2023-01-19,Xiaomi,Mi 11,30,247,47,14
2024-11-30,Oppo,Oppo Reno 5,48,336,43,13
2024-12-21,HP,Pavilion 15,10,399,33,11
2024-06-29,OnePlus,OnePlus 9,5,393,45,4
2023-01-17,Xiaomi,Redmi Note 9,2,42,43,4
2021-07-04,Asus,ZenBook 14,36,186,11,8
2021-12-12,Samsung,Galaxy S20,25,409,49,8
2023-04-01,MSI,Stealth 15M,36,279,48,11
2024-09-19,Oppo,Oppo Reno 5,20,288,23,11
2021-04-26,Oppo,Oppo Reno 5,17,226,39,8
2022-11-21,OnePlus,OnePlus Nord,23,320,43,14
2023-11-26,Apple,MacBook Pro 13,45,407,39,12
2022-02-04,Apple,MacBook Air,32,213,14,7
2024-04-30,Oppo,Oppo F19,45,404,29,7
2021-01-18,Lenovo,IdeaPad 3,37,376,18,12
2022-09-13,Asus,ROG Zephyrus,35,362,43,14
2021-05-04,Google,Pixel 4a,47,247,15,10
2024-08-16,Asus,ROG Zephyrus,23,376,12,14
2022-08-16,HP,EliteBook 840,2,485,32,14
2021-12-01,Asus,ROG Zephyrus,13,24,22,14
2021-05-05,Apple,MacBook Pro 16,40,480,44,9
2023-08-05,Apple,iPhone 13,27,298,29,9
2023-01-30,Acer,Aspire 5,25,337,12,6
2022-11-29,HP,EliteBook 840,14,408,43,13
2023-08-05,Xiaomi,Redmi Note 9,47,315,41,6
2022-12-14,Acer,Aspire 5,49,479,17,13
2021-01-15,Lenovo,Legion 5,29,182,45,14
2022-08-12,Lenovo,ThinkPad X1,13,218,15,8
2023-11-16,Oppo,Oppo F19,1,177,21,9
2023-02-25,HP,EliteBook 840,3,125,12,12
2023-01-13,Acer,Swift 3,44,357,34,5
2022-07-17,OnePlus,OnePlus 8,11,148,48,13
2021-04-30,Acer,Aspire 5,6,303,11,9
2024-07-25,Google,Pixel 5,41,301,25,11
2022-09-05,Lenovo,ThinkPad X1,31,136,20,6
2024-07-21,Google,Pixel 6,22,262,12,6
2024-01-03,Oppo,Oppo F19,30,353,19,10
2022-10-08,Asus,VivoBook 15,42,331,41,11
2021-05-11,Samsung,Galaxy S20,30,40,49,8
2022-01-14,OnePlus,OnePlus Nord,20,222,49,12
2021-01-31,Xiaomi,Mi 10,28,123,21,6
2022-04-24,Realme,Realme 8,36,168,38,6
2024-08-25,Acer,Aspire 5,25,434,32,10
2023-03-29,Realme,Realme X7,45,401,35,10
2023-04-20,Asus,ZenBook 14,2,64,41,5
2021-06-27,Acer,Swift 3,20,203,40,3
2024-04-05,Acer,Predator Helios,9,445,49,11
2023-11-20,Apple,iPhone 12,20,290,44,10
2022-02-08,HP,Pavilion 15,28,390,43,6
2023-06-14,Asus,ROG Zephyrus,18,414,39,14
2023-09-08,OnePlus,OnePlus 9,26,472,49,12
2021-08-09,Dell,XPS 13,27,76,20,5
2024-07-02,Acer,Predator Helios,31,281,32,6
2021-08-28,Realme,Realme 7,31,450,26,3
2022-01-18,MSI,GE76 Raider,40,312,26,8
2021-11-08,Realme,Realme 8,18,361,33,6
2021-02-23,Google,Pixel 6,33,264,26,8
2023-07-25,HP,EliteBook 840,47,357,44,6
2024-04-13,OnePlus,OnePlus 9,3,244,47,8
2021-12-23,Acer,Predator Helios,9,251,43,3
2023-03-14,Samsung,Galaxy Note 10,14,253,42,11
2022-03-02,Apple,iPhone 13,21,123,14,13
2022-12-07,Acer,Aspire 5,17,211,49,5
2023-09-27,Realme,Realme 7,35,463,35,7
2021-10-24,Acer,Aspire 5,46,320,13,3
2023-09-10,Lenovo,Legion 5,30,470,32,10
2024-08-20,MSI,GE76 Raider,30,268,35,12
2022-04-10,Acer,Swift 3,4,53,30,3
2023-06-09,Dell,Inspiron 15,43,172,42,5
2023-02-16,Apple,MacBook Pro 16,37,350,49,8
2022-01-03,Realme,Realme X7,48,315,15,14
2022-10-08,Xiaomi,Redmi Note 9,6,307,19,11
2022-07-30,Google,Pixel 5,20,440,11,9
2022-06-18,Vivo,Vivo X50,37,161,39,4
2022-07-28,Samsung,Galaxy Note 10,30,180,16,14
2023-10-19,Samsung,Galaxy S21,27,393,47,7
2024-01-30,Dell,Inspiron 15,20,67,21,14
2021-09-11,Acer,Aspire 5,26,337,40,6
2024-04-19,Apple,iPhone 13,37,268,30,3
2022-12-13,Google,Pixel 4a,31,323,41,11
2021-12-03,Dell,Latitude 7420,30,62,21,5
2022-11-06,Samsung,Galaxy Note 10,2,155,47,9
2024-01-19,Vivo,Vivo V20,16,213,33,13
2023-06-26,Apple,MacBook Air,1,353,16,4
2023-10-28,Realme,Realme X7,31,382,39,13
2023-07-10,Asus,ZenBook 14,28,156,34,3
2021-02-15,MSI,Stealth 15M,26,207,25,7
2021-07-18,Dell,Inspiron 15,3,112,35,12
2023-04-22,Vivo,Vivo Y51,1,33,45,6
2021-11-26,Google,Pixel 6,23,451,14,12
2021-08-08,Apple,iPhone 11,37,282,32,8
2022-11-23,Lenovo,IdeaPad 3,10,261,29,14
2023-09-23,HP,Spectre x360,24,37,39,14
2021-12-04,HP,Pavilion 15,42,304,43,10
2022-05-22,Samsung,Galaxy S20,39,331,12,5
2022-10-19,Realme,Realme X7,3,234,39,8
2024-10-31,Oppo,Oppo A74,9,263,41,6
2024-01-20,MSI,Stealth 15M,28,45,30,9
2022-03-30,Google,Pixel 6,26,92,49,12
2021-08-18,OnePlus,OnePlus Nord,43,270,13,11
2021-01-11,Samsung,Galaxy Note 10,48,299,25,14
2023-08-08,Apple,iPhone 12,8,41,44,12
2023-03-12,Google,Pixel 6,7,35,50,8
2022-06-15,Apple,MacBook Pro 13,30,76,34,14
2021-09-20,HP,Spectre x360,40,407,43,9
2024-05-04,Asus,VivoBook 15,37,405,46,6
2023-01-07,Xiaomi,Mi 10,40,258,47,6
2024-04-23,Apple,MacBook Pro 16,42,264,21,4
2024-12-16,Realme,Realme X7,40,243,10,9
2024-07-01,OnePlus,OnePlus 9,41,169,15,13
2021-04-02,Realme,Realme X7,3,117,41,3
2024-03-18,OnePlus,OnePlus 8,46,274,23,10
2021-07-12,Dell,XPS 13,40,456,12,7
2023-09-08,Realme,Realme X7,46,109,40,4
2022-04-23,Google,Pixel 6,5,135,23,10
2021-04-09,Lenovo,ThinkPad X1,44,306,37,6
2023-08-05,Samsung,Galaxy Note 10,31,30,23,9
2024-02-15,Vivo,Vivo V20,4,432,11,9
2023-05-17,Asus,VivoBook 15,31,353,31,5
2022-01-10,Samsung,Galaxy S21,18,382,48,3
2024-01-17,MSI,GF65 Thin,48,304,27,5
2023-02-10,Acer,Predator Helios,10,438,12,5
2021-07-16,Apple,iPhone 12,27,30,40,8
2024-12-25,HP,EliteBook 840,14,381,10,13
2024-11-25,Samsung,Galaxy S21,21,272,18,3
2023-09-02,Realme,Realme 7,9,39,18,3
2021-02-09,Lenovo,ThinkPad X1,23,237,46,9
2022-03-31,Xiaomi,Redmi Note 9,15,452,14,5
2024-05-04,Asus,ROG Zephyrus,27,363,45,4
2022-04-13,Samsung,Galaxy Note 10,20,92,43,13
2021-09-04,HP,Spectre x360,44,244,12,6
2022-01-15,OnePlus,OnePlus Nord,49,167,36,13
2024-10-23,Asus,ROG Zephyrus,45,463,10,5
2024-12-08,Apple,iPhone 12,32,189,34,14
2024-03-08,Apple,iPhone 12,43,293,32,13
2024-01-22,Vivo,Vivo V20,48,203,18,6
2024-12-23,Apple,MacBook Pro 13,4,499,49,11
2021-06-05,Google,Pixel 5,31,174,33,6
2021-07-12,Apple,MacBook Pro 13,5,88,38,11
2024-03-14,Google,Pixel 4a,44,464,35,6
2023-06-07,Asus,VivoBook 15,43,24,13,9
2024-06-26,HP,EliteBook 840,29,497,48,6
2021-01-23,Acer,Swift 3,34,166,30,5
